Year,Player,Runs
1971,G Boycott (ENG),8
1971,GS Chappell (AUS),22
1971,IM Chappell (AUS),60
1971,MC Cowdrey (ENG),1
1971,BL D'Oliveira (ENG),17
1971,JH Edrich (ENG),82
1971,KWR Fletcher (ENG),24
1971,JH Hampshire (ENG),10
1971,R Illingworth (ENG),1
1971,APE Knott (ENG),24
1971,WM Lawry (AUS),27
1971,P Lever (ENG),4
1971,RW Marsh (AUS),10
1971,IR Redpath (AUS),12
1971,K Shuttleworth (ENG),7
1971,JA Snow (ENG),2
1971,KR Stackpole (AUS),13
1971,KD Walters (AUS),41
1972,DL Amiss (ENG),168
1972,GG Arnold (ENG),11
1972,G Boycott (ENG),74
1972,GS Chappell (AUS),101
1972,IM Chappell (AUS),87
1972,DB Close (ENG),49
1972,BL D'Oliveira (ENG),13
1972,R Edwards (AUS),69
1972,KWR Fletcher (ENG),114
1972,AW Greig (ENG),55
1972,JR Hammond (AUS),15
1972,JH Hampshire (ENG),38
1972,APE Knott (ENG),56
1972,DK Lillee (AUS),13
1972,AA Mallett (AUS),14
1972,RW Marsh (AUS),17
1972,RAL Massie (AUS),16
1972,AP Sheahan (AUS),75
1972,JA Snow (ENG),5
1972,KR Stackpole (AUS),150
1972,KD Walters (AUS),17
1972,GD Watson (AUS),11
1972,B Wood (ENG),19
1972,RA Woolmer (ENG),9
1973,DL Amiss (ENG),134
1973,GG Arnold (ENG),17
1973,Asif Iqbal (PAK),3
1973,Asif Masood (PAK),4
1973,KD Boyce (WI),7
1973,G Boycott (ENG),35
1973,MG Burgess (NZ),48
1973,RO Collinge (NZ),13
1973,PG Coman (NZ),24
1973,BE Congdon (NZ),5
1973,MH Denness (ENG),66
1973,KWR Fletcher (ENG),106
1973,MLC Foster (WI),25
1973,RC Fredericks (WI),109
1973,LR Gibbs (WI),0
1973,AW Greig (ENG),79
1973,DR Hadlee (NZ),0
1973,RJ Hadlee (NZ),49
1973,BF Hastings (NZ),4
1973,FC Hayes (ENG),38
1973,RGA Headley (WI),19
1973,M Hendrick (ENG),1
1973,VA Holder (WI),10
1973,HJ Howarth (NZ),6
1973,R Illingworth (ENG),4
1973,Intikhab Alam (PAK),10
1973,JA Jameson (ENG),28
1973,BD Julien (WI),0
1973,AI Kallicharran (WI),79
1973,RB Kanhai (WI),55
1973,APE Knott (ENG),12
1973,CH Lloyd (WI),31
1973,D Lloyd (ENG),8
1973,Majid Khan (PAK),8
1973,DA Murray (WI),1
1973,DL Murray (WI),11
1973,Mushtaq Mohammad (PAK),27
1973,Nasim-ul-Ghani (PAK),1
1973,CM Old (ENG),25
1973,V Pollard (NZ),55
1973,RE Redmond (NZ),3
1973,GRJ Roope (ENG),44
1973,Sadiq Mohammad (PAK),37
1973,Saleem Altaf (PAK),21
1973,Sarfraz Nawaz (PAK),17
1973,MJ Smith (ENG),50
1973,GS Sobers (WI),0
1973,BR Taylor (NZ),22
1973,RW Taylor (ENG),11
1973,GM Turner (NZ),36
1973,DL Underwood (ENG),2
1973,GE Vivian (NZ),14
1973,KJ Wadsworth (NZ),33
1973,Wasim Bari (PAK),21
1973,Wasim Raja (PAK),4
1973,RGD Willis (ENG),9
1974,S Abid Ali (INDIA),23
1974,DL Amiss (ENG),20
1974,GG Arnold (ENG),2
1974,Asif Iqbal (PAK),24
1974,BS Bedi (INDIA),0
1974,GK Bose (INDIA),13
1974,MG Burgess (NZ),6
1974,BL Cairns (NZ),30
1974,GS Chappell (AUS),117
1974,IM Chappell (AUS),169
1974,PG Coman (NZ),38
1974,BE Congdon (NZ),131
1974,IC Davis (AUS),11
1974,MH Denness (ENG),73
1974,JH Edrich (ENG),133
1974,FM Engineer (INDIA),36
1974,KWR Fletcher (ENG),96
1974,SM Gavaskar (INDIA),48
1974,AW Greig (ENG),72
1974,DR Hadlee (NZ),12
1974,RJ Hadlee (NZ),3
1974,BF Hastings (NZ),34
1974,APE Knott (ENG),15
1974,P Lever (ENG),8
1974,D Lloyd (ENG),193
1974,S Madan Lal (INDIA),5
1974,Majid Khan (PAK),109
1974,AV Mankad (INDIA),44
1974,RW Marsh (AUS),1
1974,Mushtaq Mohammad (PAK),25
1974,SS Naik (INDIA),38
1974,CM Old (ENG),44
1974,DR O'Sullivan (NZ),1
1974,JM Parker (NZ),14
1974,BP Patel (INDIA),94
1974,V Pollard (NZ),12
1974,IR Redpath (AUS),8
1974,Sadiq Mohammad (PAK),53
1974,MJ Smith (ENG),20
1974,ED Solkar (INDIA),3
1974,KR Stackpole (AUS),61
1974,RW Taylor (ENG),26
1974,GM Turner (NZ),11
1974,DL Underwood (ENG),17
1974,S Venkataraghavan (INDIA),1
1974,GR Viswanath (INDIA),36
1974,AL Wadekar (INDIA),73
1974,KJ Wadsworth (NZ),111
1974,KD Walters (AUS),19
1974,AJ Woodcock (AUS),53
1974,Zaheer Abbas (PAK),88
1975,S Abid Ali (INDIA),70
1975,M Amarnath (INDIA),1
1975,DL Amiss (ENG),293
1975,GG Arnold (ENG),18
1975,Asif Iqbal (PAK),53
1975,Asif Masood (PAK),6
1975,BS Bedi (INDIA),6
1975,KD Boyce (WI),50
1975,BL Cairns (NZ),10
1975,GS Chappell (AUS),232
1975,IM Chappell (AUS),226
1975,RO Collinge (NZ),8
1975,BE Congdon (NZ),101
1975,GJ Cosier (AUS),25
1975,MH Denness (ENG),125
1975,DS de Silva (SL),47
1975,GRA de Silva (SL),0
1975,JH Edrich (ENG),8
1975,R Edwards (AUS),186
1975,WJ Edwards (AUS),2
1975,FM Engineer (INDIA),78
1975,ER Fernando (SL),47
1975,KWR Fletcher (ENG),267
1975,Frasat Ali (EAf),57
1975,RC Fredericks (WI),137
